iter	RMSE
0	0.1391111053
1	0.1359852771
2	0.1329183815
3	0.1300466429
4	0.1271404707
5	0.1242155233
6	0.1215518613
7	0.1190891057
8	0.1165501545
9	0.114108595
10	0.1117755882
11	0.1097731362
12	0.1078415624
13	0.1057912707
14	0.1038433769
15	0.1019300605
16	0.1003109107
17	0.09851143743
18	0.09690788504
19	0.09519673356
20	0.09359985317
21	0.09202687424
22	0.09057164216
23	0.08932868729
24	0.08798658556
25	0.08682137992
26	0.08558219192
27	0.08449038761
28	0.0833457951
29	0.0822418865
30	0.08121119047
31	0.08021660484
32	0.07924914531
33	0.07834756032
34	0.07739882649
35	0.07661312968
36	0.07573526455
37	0.07498600025
38	0.07428240676
39	0.07351351518
40	0.07280476708
41	0.07224540504
42	0.0717051458
43	0.07111610684
44	0.07060495331
45	0.07003882856
46	0.06950946964
47	0.06895998302
48	0.06853873193
49	0.06797429033
50	0.06757112901
51	0.06714164596
52	0.06673526948
53	0.06629321561
54	0.06590005482
55	0.06549881422
56	0.06513616563
57	0.06477002367
58	0.06449472972
59	0.06417104934
60	0.06377925337
61	0.06343474751
62	0.06312010831
63	0.06289103421
64	0.06261546904
65	0.06240426211
66	0.06219717265
67	0.06189955556
68	0.06168044998
69	0.06156659903
70	0.06134279685
71	0.06111194787
72	0.06092233913
73	0.06073449726
74	0.06053760662
75	0.06030850732
76	0.06013312647
77	0.05997605084
78	0.05980970189
79	0.05962378524
80	0.05947311565
81	0.05926028326
82	0.05914948593
83	0.05895558539
84	0.05879203017
85	0.05864550923
86	0.0585408755
87	0.05839879256
88	0.05829054988
89	0.05812267735
90	0.0580278182
91	0.05782698267
92	0.05769420343
93	0.05759101572
94	0.05747199469
95	0.05729641958
96	0.05715972565
97	0.05701078304
98	0.05692798317
99	0.05680984612
100	0.05668087894
101	0.05651512222
102	0.05632113822
103	0.05622543206
104	0.05604145426
105	0.05592630088
106	0.05587000544
107	0.05575004697
108	0.05566064142
109	0.05555964088
110	0.0555175279
111	0.05538835925
112	0.05519338432
113	0.05512855542
114	0.05511813704
115	0.05505078776
116	0.05495169919
117	0.05486021385
118	0.05474587616
119	0.05466372622
120	0.05456259911
121	0.05442355516
122	0.05435208493
123	0.05425980413
124	0.05421105389
125	0.05415729881
126	0.05410703455
127	0.05405960242
128	0.05389325736
129	0.05379480829
130	0.0536978056
131	0.05365767207
132	0.05352694892
133	0.05343531791
134	0.05338225103
135	0.05328379338
136	0.05324174771
137	0.05320433058
138	0.05308862663
139	0.05298509024
140	0.05280893691
141	0.05275214187
142	0.05262547502
143	0.05257134666
144	0.05249312089
145	0.05233319399
146	0.05226481653
147	0.05219700734
148	0.05209289597
149	0.05199991439
150	0.05194454048
151	0.05184478853
152	0.05178954779
153	0.0517135015
154	0.05165770158
155	0.05164054311
156	0.05151858369
157	0.05142598723
158	0.05132989902
159	0.05117150878
160	0.05110216142
161	0.05102928246
162	0.05092353961
163	0.0508570608
164	0.05081979649
165	0.05076005237
166	0.05067594627
167	0.05064862333
168	0.05056757384
169	0.05050207376
170	0.05041693442
171	0.05036747088
172	0.05027418161
173	0.05017937709
174	0.05013111368
175	0.05001308422
176	0.04994087507
177	0.04983935827
178	0.04973731168
179	0.04960943244
180	0.04950872906
181	0.04942192868
182	0.0493617171
183	0.04925821879
184	0.04921589922
185	0.04914224936
186	0.04904679296
187	0.04898075016
188	0.0489621272
189	0.04891512205
190	0.04880655663
191	0.04870790592
192	0.04862060349
193	0.04853296765
194	0.04848990253
195	0.04841764827
196	0.04834763415
197	0.04829586328
198	0.04820626224
199	0.04810389952
200	0.04808116061
201	0.04799537687
202	0.04790432389
203	0.0478372501
204	0.04776520316
205	0.04768182953
206	0.04761388367
207	0.04752554972
208	0.0474816831
209	0.04739389793
210	0.04729567226
211	0.04726690182
212	0.04719527128
213	0.04709046156
214	0.04703923093
215	0.04692133608
216	0.0468798208
217	0.04684633123
218	0.04681888747
219	0.04679540782
220	0.04679154748
221	0.04671571408
222	0.0466187097
223	0.04655637863
224	0.0465062447
225	0.04640900113
226	0.04638580586
227	0.04636739904
228	0.04631656064
229	0.0462135895
230	0.04615857582
231	0.04614739748
232	0.04610318033
233	0.04606167173
234	0.04604724086
235	0.04603811264
236	0.04603477179
237	0.04596794756
238	0.04587572631
239	0.04582592142
240	0.04579295442
241	0.04574926499
242	0.04571997349
243	0.04571696373
244	0.04570279277
245	0.04568931465
246	0.04567717044
247	0.04567082586
248	0.04565723723
249	0.04564745695
250	0.04556912676
251	0.04546390189
252	0.04538493189
253	0.04537626258
254	0.04536692388
255	0.04535754349
256	0.0453000794
257	0.0452950344
258	0.04527394472
259	0.04526240401
260	0.04525521754
261	0.04525210268
262	0.04519753279
263	0.0451696419
264	0.04516490225
265	0.04515644673
266	0.04507117017
267	0.0449965893
268	0.04491082595
269	0.04489865775
270	0.04484103308
271	0.04475666655
272	0.04471272675
273	0.04470395964
274	0.04463348992
275	0.0445914307
276	0.04455354326
277	0.04454567577
278	0.04447745935
279	0.04443354317
280	0.04438235976
281	0.04437635836
282	0.04432218551
283	0.04431944246
284	0.04425553556
285	0.04424892379
286	0.04423658955
287	0.04417018252
288	0.04414208076
289	0.0440668033
290	0.04403595968
291	0.04400594544
292	0.04391563905
293	0.04386652054
294	0.04385823479
295	0.04379549035
296	0.04375021985
297	0.04370293507
298	0.0436475233
299	0.04355652223
300	0.04348602085
301	0.04348354247
302	0.04347752378
303	0.04343051031
304	0.04342275617
305	0.04336346537
306	0.04331944825
307	0.04327428985
308	0.04323166729
309	0.04319745794
310	0.04319007985
311	0.04310618851
312	0.04304542662
313	0.04304048129
314	0.04299217977
315	0.04297378188
316	0.04294384389
317	0.04293894443
318	0.04289124498
319	0.04281423649
320	0.04276314163
321	0.04275737414
322	0.04274280268
323	0.04273022586
324	0.04265297055
325	0.04262414533
326	0.04257516178
327	0.04257318387
328	0.04256793785
329	0.04256623703
330	0.04253757354
331	0.04253564805
332	0.04243757756
333	0.04239186268
334	0.04235490416
335	0.04231030661
336	0.04227282779
337	0.04224894202
338	0.04220665029
339	0.04219685797
340	0.0421107504
341	0.04201601641
342	0.04198540911
343	0.04198355314
344	0.04191532156
345	0.04190952374
346	0.04185364019
347	0.04184274503
348	0.04179620254
349	0.04175578266
350	0.0417043973
351	0.04166420101
352	0.04160733165
353	0.04160587464
354	0.04154448762
355	0.04149006905
356	0.04148323472
357	0.04146617322
358	0.04146289913
359	0.04142206797
360	0.04134334428
361	0.04133481807
362	0.04128618311
363	0.0412698782
364	0.04126852728
365	0.04122914135
366	0.04112486272
367	0.04107030028
368	0.04098506892
369	0.040950452
370	0.04089049878
371	0.04086778677
372	0.04083119469
373	0.04080818625
374	0.04079956444
375	0.04075994887
376	0.04072282507
377	0.04070748128
378	0.04062971692
379	0.04057271763
380	0.04056743668
381	0.04049784148
382	0.04049434431
383	0.04049118954
384	0.04045390023
385	0.04039909212
386	0.04036179869
387	0.04036065117
388	0.04028602298
389	0.04021088176
390	0.04017531439
391	0.0401044797
392	0.04007610567
393	0.04003847333
394	0.04001488532
395	0.03991503374
396	0.03991257297
397	0.03986320171
398	0.03982809888
399	0.03979210423
400	0.03978705288
401	0.03973423982
402	0.03963900161
403	0.0396261323
404	0.03960561942
405	0.0395956492
406	0.03953014486
407	0.03945959299
408	0.03935629731
409	0.0393218591
410	0.0392602001
411	0.03916952172
412	0.03913519134
413	0.03907497046
414	0.03904382685
415	0.0390428471
416	0.03901206573
417	0.03897563791
418	0.0389315838
419	0.03886216411
420	0.03879731053
421	0.03876694018
422	0.03874946365
423	0.03867951804
424	0.03860536935
425	0.03859404187
426	0.03852641202
427	0.03846862862
428	0.03839704624
429	0.03836217375
430	0.03832983316
431	0.03829487758
432	0.03826386512
433	0.03820722976
434	0.03820614988
435	0.0381540974
436	0.03812604517
437	0.0381065513
438	0.03804358748
439	0.03801634564
440	0.03800253358
441	0.03793512686
442	0.03788563917
443	0.03786685731
444	0.03783904426
445	0.03783814037
446	0.03781042099
447	0.03780923073
448	0.03780719124
449	0.0377249399
450	0.03770035172
451	0.03762548735
452	0.03755354316
453	0.03748439504
454	0.03747523066
455	0.03740600682
456	0.03735963489
457	0.03728098587
458	0.0372243985
459	0.03713969246
460	0.03706233512
461	0.0370337214
462	0.03696558467
463	0.03692541453
464	0.03688600384
465	0.03686679475
466	0.03686043264
467	0.03678822771
468	0.03675559211
469	0.03668806465
470	0.03665395996
471	0.03663579865
472	0.03660977341
473	0.03658967015
474	0.03652454888
475	0.03648836324
476	0.03645914144
477	0.03644370496
478	0.03638421171
479	0.03637759706
480	0.03631571571
481	0.03626616485
482	0.0361912682
483	0.03614312892
484	0.03612853716
485	0.03604314292
486	0.03600334897
487	0.03591464356
488	0.03589504926
489	0.03588108133
490	0.03584914736
491	0.03582454181
492	0.03580130208
493	0.03579654634
494	0.03575659536
495	0.03574396545
496	0.03571538542
497	0.03570444933
498	0.03568700091
499	0.03564561198
500	0.03557720342
501	0.03555020836
502	0.03554410906
503	0.03547011344
504	0.03537718478
505	0.03530557526
506	0.03526582363
507	0.03520156703
508	0.03517677744
509	0.03516009645
510	0.03515711803
511	0.03513996841
512	0.03510180951
513	0.03509962103
514	0.03507236379
515	0.03502199655
516	0.03500502878
517	0.03498670041
518	0.03497386977
519	0.03492565248
520	0.03486726846
521	0.0348256886
522	0.03479279409
523	0.03473144124
524	0.03470928775
525	0.03467093674
526	0.03463049862
527	0.03461324122
528	0.03459532707
529	0.0345841666
530	0.03457612602
531	0.0345577118
532	0.03452009235
533	0.03445657409
534	0.03443922934
535	0.03436766251
536	0.03434432479
537	0.03430034502
538	0.03424452286
539	0.03421072397
540	0.03418186248
541	0.03416771111
542	0.03411201738
543	0.03403610063
544	0.03399049406
545	0.03396762584
546	0.03394719952
547	0.03393595181
548	0.0338733365
549	0.03385374908
550	0.0338190579
551	0.03377826015
552	0.03370807636
553	0.03366509519
554	0.03363444213
